,function_type,degree,depth,width,num_variables,num_samples,num_training_epochs
0,parity,8,two,half_d,32,1000d,100
1,parity,8,two,d,32,1000d,100
2,parity,8,two,2d,32,1000d,100
3,parity,8,two,4d,32,1000d,100
4,parity,8,half_d,half_d,32,1000d,100
5,parity,8,half_d,d,32,1000d,100
6,parity,8,half_d,2d,32,1000d,100
7,parity,8,half_d,4d,32,1000d,100
8,parity,8,d,half_d,32,1000d,100
9,parity,8,d,d,32,1000d,100
10,parity,8,d,2d,32,1000d,100
11,parity,8,d,4d,32,1000d,100
12,parity,12,two,half_d,32,1000d,100
13,parity,12,two,d,32,1000d,100
14,parity,12,two,2d,32,1000d,100
15,parity,12,two,4d,32,1000d,100
16,parity,12,half_d,half_d,32,1000d,100
17,parity,12,half_d,d,32,1000d,100
18,parity,12,half_d,2d,32,1000d,100
19,parity,12,half_d,4d,32,1000d,100
20,parity,12,d,half_d,32,1000d,100
21,parity,12,d,d,32,1000d,100
22,parity,12,d,2d,32,1000d,100
23,parity,12,d,4d,32,1000d,100
24,parity,16,two,half_d,32,1000d,100
25,parity,16,two,d,32,1000d,100
26,parity,16,two,2d,32,1000d,100
27,parity,16,two,4d,32,1000d,100
28,parity,16,half_d,half_d,32,1000d,100
29,parity,16,half_d,d,32,1000d,100
30,parity,16,half_d,2d,32,1000d,100
31,parity,16,half_d,4d,32,1000d,100
32,parity,16,d,half_d,32,1000d,100
33,parity,16,d,d,32,1000d,100
34,parity,16,d,2d,32,1000d,100
35,parity,16,d,4d,32,1000d,100
36,staircase,8,two,half_d,32,1000d,100
37,staircase,8,two,d,32,1000d,100
38,staircase,8,two,2d,32,1000d,100
39,staircase,8,two,4d,32,1000d,100
40,staircase,8,half_d,half_d,32,1000d,100
41,staircase,8,half_d,d,32,1000d,100
42,staircase,8,half_d,2d,32,1000d,100
43,staircase,8,half_d,4d,32,1000d,100
44,staircase,8,d,half_d,32,1000d,100
45,staircase,8,d,d,32,1000d,100
46,staircase,8,d,2d,32,1000d,100
47,staircase,8,d,4d,32,1000d,100
48,staircase,12,two,half_d,32,1000d,100
49,staircase,12,two,d,32,1000d,100
50,staircase,12,two,2d,32,1000d,100
51,staircase,12,two,4d,32,1000d,100
52,staircase,12,half_d,half_d,32,1000d,100
53,staircase,12,half_d,d,32,1000d,100
54,staircase,12,half_d,2d,32,1000d,100
55,staircase,12,half_d,4d,32,1000d,100
56,staircase,12,d,half_d,32,1000d,100
57,staircase,12,d,d,32,1000d,100
58,staircase,12,d,2d,32,1000d,100
59,staircase,12,d,4d,32,1000d,100
60,staircase,16,two,half_d,32,1000d,100
61,staircase,16,two,d,32,1000d,100
62,staircase,16,two,2d,32,1000d,100
63,staircase,16,two,4d,32,1000d,100
64,staircase,16,half_d,half_d,32,1000d,100
65,staircase,16,half_d,d,32,1000d,100
66,staircase,16,half_d,2d,32,1000d,100
67,staircase,16,half_d,4d,32,1000d,100
68,staircase,16,d,half_d,32,1000d,100
69,staircase,16,d,d,32,1000d,100
70,staircase,16,d,2d,32,1000d,100
71,staircase,16,d,4d,32,1000d,100
72,complete,8,two,half_d,32,1000d,100
73,complete,8,two,d,32,1000d,100
74,complete,8,two,2d,32,1000d,100
75,complete,8,two,4d,32,1000d,100
76,complete,8,half_d,half_d,32,1000d,100
77,complete,8,half_d,d,32,1000d,100
78,complete,8,half_d,2d,32,1000d,100
79,complete,8,half_d,4d,32,1000d,100
80,complete,8,d,half_d,32,1000d,100
81,complete,8,d,d,32,1000d,100
82,complete,8,d,2d,32,1000d,100
83,complete,8,d,4d,32,1000d,100
84,complete,12,two,half_d,32,1000d,100
85,complete,12,two,d,32,1000d,100
86,complete,12,two,2d,32,1000d,100
87,complete,12,two,4d,32,1000d,100
88,complete,12,half_d,half_d,32,1000d,100
89,complete,12,half_d,d,32,1000d,100
90,complete,12,half_d,2d,32,1000d,100
91,complete,12,half_d,4d,32,1000d,100
92,complete,12,d,half_d,32,1000d,100
93,complete,12,d,d,32,1000d,100
94,complete,12,d,2d,32,1000d,100
95,complete,12,d,4d,32,1000d,100
96,complete,16,two,half_d,32,1000d,100
97,complete,16,two,d,32,1000d,100
98,complete,16,two,2d,32,1000d,100
99,complete,16,two,4d,32,1000d,100
100,complete,16,half_d,half_d,32,1000d,100
101,complete,16,half_d,d,32,1000d,100
102,complete,16,half_d,2d,32,1000d,100
103,complete,16,half_d,4d,32,1000d,100
104,complete,16,d,half_d,32,1000d,100
105,complete,16,d,d,32,1000d,100
106,complete,16,d,2d,32,1000d,100
107,complete,16,d,4d,32,1000d,100
108,clipped_complete,8,two,half_d,32,1000d,100
109,clipped_complete,8,two,d,32,1000d,100
110,clipped_complete,8,two,2d,32,1000d,100
111,clipped_complete,8,two,4d,32,1000d,100
112,clipped_complete,8,half_d,half_d,32,1000d,100
113,clipped_complete,8,half_d,d,32,1000d,100
114,clipped_complete,8,half_d,2d,32,1000d,100
115,clipped_complete,8,half_d,4d,32,1000d,100
116,clipped_complete,8,d,half_d,32,1000d,100
117,clipped_complete,8,d,d,32,1000d,100
118,clipped_complete,8,d,2d,32,1000d,100
119,clipped_complete,8,d,4d,32,1000d,100
120,clipped_complete,12,two,half_d,32,1000d,100
121,clipped_complete,12,two,d,32,1000d,100
122,clipped_complete,12,two,2d,32,1000d,100
123,clipped_complete,12,two,4d,32,1000d,100
124,clipped_complete,12,half_d,half_d,32,1000d,100
125,clipped_complete,12,half_d,d,32,1000d,100
126,clipped_complete,12,half_d,2d,32,1000d,100
127,clipped_complete,12,half_d,4d,32,1000d,100
128,clipped_complete,12,d,half_d,32,1000d,100
129,clipped_complete,12,d,d,32,1000d,100
130,clipped_complete,12,d,2d,32,1000d,100
131,clipped_complete,12,d,4d,32,1000d,100
132,clipped_complete,16,two,half_d,32,1000d,100
133,clipped_complete,16,two,d,32,1000d,100
134,clipped_complete,16,two,2d,32,1000d,100
135,clipped_complete,16,two,4d,32,1000d,100
136,clipped_complete,16,half_d,half_d,32,1000d,100
137,clipped_complete,16,half_d,d,32,1000d,100
138,clipped_complete,16,half_d,2d,32,1000d,100
139,clipped_complete,16,half_d,4d,32,1000d,100
140,clipped_complete,16,d,half_d,32,1000d,100
141,clipped_complete,16,d,d,32,1000d,100
142,clipped_complete,16,d,2d,32,1000d,100
143,clipped_complete,16,d,4d,32,1000d,100
144,msp,8,two,half_d,32,1000d,100
145,msp,8,two,d,32,1000d,100
146,msp,8,two,2d,32,1000d,100
147,msp,8,two,4d,32,1000d,100
148,msp,8,half_d,half_d,32,1000d,100
149,msp,8,half_d,d,32,1000d,100
150,msp,8,half_d,2d,32,1000d,100
151,msp,8,half_d,4d,32,1000d,100
152,msp,8,d,half_d,32,1000d,100
153,msp,8,d,d,32,1000d,100
154,msp,8,d,2d,32,1000d,100
155,msp,8,d,4d,32,1000d,100
156,msp,12,two,half_d,32,1000d,100
157,msp,12,two,d,32,1000d,100
158,msp,12,two,2d,32,1000d,100
159,msp,12,two,4d,32,1000d,100
160,msp,12,half_d,half_d,32,1000d,100
161,msp,12,half_d,d,32,1000d,100
162,msp,12,half_d,2d,32,1000d,100
163,msp,12,half_d,4d,32,1000d,100
164,msp,12,d,half_d,32,1000d,100
165,msp,12,d,d,32,1000d,100
166,msp,12,d,2d,32,1000d,100
167,msp,12,d,4d,32,1000d,100
168,msp,16,two,half_d,32,1000d,100
169,msp,16,two,d,32,1000d,100
170,msp,16,two,2d,32,1000d,100
171,msp,16,two,4d,32,1000d,100
172,msp,16,half_d,half_d,32,1000d,100
173,msp,16,half_d,d,32,1000d,100
174,msp,16,half_d,2d,32,1000d,100
175,msp,16,half_d,4d,32,1000d,100
176,msp,16,d,half_d,32,1000d,100
177,msp,16,d,d,32,1000d,100
178,msp,16,d,2d,32,1000d,100
179,msp,16,d,4d,32,1000d,100
180,half_msp,8,two,half_d,32,1000d,100
181,half_msp,8,two,d,32,1000d,100
182,half_msp,8,two,2d,32,1000d,100
183,half_msp,8,two,4d,32,1000d,100
184,half_msp,8,half_d,half_d,32,1000d,100
185,half_msp,8,half_d,d,32,1000d,100
186,half_msp,8,half_d,2d,32,1000d,100
187,half_msp,8,half_d,4d,32,1000d,100
188,half_msp,8,d,half_d,32,1000d,100
189,half_msp,8,d,d,32,1000d,100
190,half_msp,8,d,2d,32,1000d,100
191,half_msp,8,d,4d,32,1000d,100
192,half_msp,12,two,half_d,32,1000d,100
193,half_msp,12,two,d,32,1000d,100
194,half_msp,12,two,2d,32,1000d,100
195,half_msp,12,two,4d,32,1000d,100
196,half_msp,12,half_d,half_d,32,1000d,100
197,half_msp,12,half_d,d,32,1000d,100
198,half_msp,12,half_d,2d,32,1000d,100
199,half_msp,12,half_d,4d,32,1000d,100
200,half_msp,12,d,half_d,32,1000d,100
201,half_msp,12,d,d,32,1000d,100
202,half_msp,12,d,2d,32,1000d,100
203,half_msp,12,d,4d,32,1000d,100
204,half_msp,16,two,half_d,32,1000d,100
205,half_msp,16,two,d,32,1000d,100
206,half_msp,16,two,2d,32,1000d,100
207,half_msp,16,two,4d,32,1000d,100
208,half_msp,16,half_d,half_d,32,1000d,100
209,half_msp,16,half_d,d,32,1000d,100
210,half_msp,16,half_d,2d,32,1000d,100
211,half_msp,16,half_d,4d,32,1000d,100
212,half_msp,16,d,half_d,32,1000d,100
213,half_msp,16,d,d,32,1000d,100
214,half_msp,16,d,2d,32,1000d,100
215,half_msp,16,d,4d,32,1000d,100
216,random,8,two,half_d,32,1000d,100
217,random,8,two,d,32,1000d,100
218,random,8,two,2d,32,1000d,100
219,random,8,two,4d,32,1000d,100
220,random,8,half_d,half_d,32,1000d,100
221,random,8,half_d,d,32,1000d,100
222,random,8,half_d,2d,32,1000d,100
223,random,8,half_d,4d,32,1000d,100
224,random,8,d,half_d,32,1000d,100
225,random,8,d,d,32,1000d,100
226,random,8,d,2d,32,1000d,100
227,random,8,d,4d,32,1000d,100
228,random,12,two,half_d,32,1000d,100
229,random,12,two,d,32,1000d,100
230,random,12,two,2d,32,1000d,100
231,random,12,two,4d,32,1000d,100
232,random,12,half_d,half_d,32,1000d,100
233,random,12,half_d,d,32,1000d,100
234,random,12,half_d,2d,32,1000d,100
235,random,12,half_d,4d,32,1000d,100
236,random,12,d,half_d,32,1000d,100
237,random,12,d,d,32,1000d,100
238,random,12,d,2d,32,1000d,100
239,random,12,d,4d,32,1000d,100
240,random,16,two,half_d,32,1000d,100
241,random,16,two,d,32,1000d,100
242,random,16,two,2d,32,1000d,100
243,random,16,two,4d,32,1000d,100
244,random,16,half_d,half_d,32,1000d,100
245,random,16,half_d,d,32,1000d,100
246,random,16,half_d,2d,32,1000d,100
247,random,16,half_d,4d,32,1000d,100
248,random,16,d,half_d,32,1000d,100
249,random,16,d,d,32,1000d,100
250,random,16,d,2d,32,1000d,100
251,random,16,d,4d,32,1000d,100
